reviews,Fine-grained sentiment score,review_category
  It's a great phone im buy last 2 weaks ago oppo f9pro same all features on oppo a5s their is no change in this phone both are same of all features and battery backup is coming upto 2 days of once full charge with using mobile data display is asumne like oppo f9pro and for the cost its a superb phone to buy no hang problem in 2gb ram games is runing smoth with oppo game space its super thanks for the oppo and the seller for this great phone,0.9692,positive
  Overall awesome phone.,0.6249,positive
"  Awesome products . No laging in playing pubg too. Value for money phone. I. Like design of the phone, processer is good",0.8885,positive
  Guys here m talking about pros n cros of A5s.Cros:1. 3gb ram 32gbmemory2. 8MP &13+2 MP front and rear camera. Which is really disgusting.No clearity as well as quality. Rather u can go some other brand at this price.3. Only one side speaker is given.4.No earphonesPros:1. Great battery.2. Fast charging3. Great size4. Smart featuresIdle for first time smart phone user.,0.9403,positive
  Pros:Camera is quiet good.Cons:RAM management is quiet bad.Phone hangs a lot even if u have 3 apps running in the background.Never go for this phone.,0,positive
  Very gud phone fast phone and gud colour price gud Amazon,0.1779,positive
  Box doesn't contain headphones,0,positive
  No headphones inside,-0.296,negative
  Super work mobile,0.5994,positive
  This is an awesome phone from oppo at rs10000 i love this phone very impressive features are given by oppoNice camera we can take superb photos . fingers print face id is available in this oppo a5s.its really awesome phone 😍😍😍😍😍,0.9888,positive
  It's a great phone im buy last 2 weaks ago oppo f9pro same all features on oppo a5s their is no change in this phone both are same of all features and battery backup is coming upto 2 days of once full charge with using mobile data display is asumne like oppo f9pro and for the cost its a superb phone to buy no hang problem in 2gb ram games is runing smoth with oppo game space its super thanks for the oppo and the seller for this great phone,0.9692,positive
  Overall awesome phone.,0.6249,positive
"  Awesome products . No laging in playing pubg too. Value for money phone. I. Like design of the phone, processer is good",0.8885,positive
  Guys here m talking about pros n cros of A5s.Cros:1. 3gb ram 32gbmemory2. 8MP &13+2 MP front and rear camera. Which is really disgusting.No clearity as well as quality. Rather u can go some other brand at this price.3. Only one side speaker is given.4.No earphonesPros:1. Great battery.2. Fast charging3. Great size4. Smart featuresIdle for first time smart phone user.,0.9403,positive
  Pros:Camera is quiet good.Cons:RAM management is quiet bad.Phone hangs a lot even if u have 3 apps running in the background.Never go for this phone.,0,positive
  Very gud phone fast phone and gud colour price gud Amazon,0.1779,positive
  Box doesn't contain headphones,0,positive
  No headphones inside,-0.296,negative
  Super work mobile,0.5994,positive
  This is an awesome phone from oppo at rs10000 i love this phone very impressive features are given by oppoNice camera we can take superb photos . fingers print face id is available in this oppo a5s.its really awesome phone 😍😍😍😍😍,0.9888,positive
"  this pohe is excelent...and this phone  had some new featers its data conection is perfect and very very fast its display is perfect and so nice,beatiful,nice controling smooth phone handeling i think this is the supper phone i ever buy.......battery is most power full long time storage i want to buy this phone again and the  phone color is so beautiful andvery shine,and about the camera no words about it....becaus the phones highlite is the camera.....selfi is excelantand so clarity in camera the company give us a plane back cover.and game when we start to play the phone chang hismode to game space in game space no disterbence in at there andscreen recorded is so claretableno hang in the phone i am playing ""free fire""""pubg""""fifa mobile""""dream leuge""and etc...i am playing these games every day phone had no hang.i like its gaming....and the game space.its camera had new featers like plano,camera,video,piono,bluring,and most beatiful editing...i am dicided to buy a new one and give the phone to my brother on his birthday...../""PLEAS TRY THIS""""I THINK THAT YOU MUST WANT THIS KIND OF PHONE""",0.9694,positive
"  The phone comes with 4gb RAM and talks about clocking excess of 2 GHz clock speed. The camera is ok and gives out decent pics. Battery life is good but sadly, no fast/dash/vooc charging available.PUBg games works on Low settings so very big disappointment here. Too much lag when try to change the Graphics settings. I would say the product description was very misleading in claiming that Games are supported.Keeping the price in mind, I would say decent phone but not worth going for if you wanted specs to match the performance.",-0.968,negative
  Headphones is missing. Worst experience.,-0.743,negative
  Everything is just awesome about this phone... Every penny is a worth.. The look is premium and it runs so smooth.. No complaints so far.. Touchwood... Oppo is always trustworthy,0.9081,positive
"  The screen resolution of this phone is very poor.At a glance it looks like a 5 inch phone.U will find difficult to use this phone if you go out of your house in sunlightPicture quality is not good as claimedYou find difficult to read the contents on screen because resolution of the phone is not at all good.Battery life is good.Sound quality is also not goodBetter, try for some good brand phone",-0.2514,negative
"  I am getting issue with my phone, issue started after return window close on 26th August voice Eco starts and sometimes videos become blur. Complaint on 4 or 5th SEP. to amazon cce said return window close have to go to service center, there Eco issue resolve but getting that video issue at times now new issue starts. When recieve call light didn't turn on automatically have to check phone after listening ringtone. I think there is some manufacturing in it, tired of visiting service center again and again. Amazon team you have to do something.",-0.3071,negative
  Super phone.... Nice display.. camera clarity and nice features...Phone design is very nice...If u need a budget friendly classy mobile go for it,0.9538,positive
