reviews,Fine-grained sentiment score,review_category
  Damaged product,-0.4404,negative
  Its compact feel better for day today normal usage. Very good mobile for all users who require a handy good looking Mobile which can perform all the task well.. display is good... Most practical phone in this price..,0.9184,positive
  Nice phone from Samsung in this price. Display is good . Camera is not awsome but average. Battery will last 1 day with normal usage. N it has all necessary features. I got this for 8999 . So good phone under 10 k.As samsung so last for years.,0.8386,positive
"  Gifted it for my mother. It is perfect size , perfect placement of power and volume buttons, has dust on phone after opening the box but the box was sealed, same thing happened to me when I bought M31,Pros.* Perfect size* Samsung brand* Good build quality for this price* Android 10* One UI 2Cons.* camera is below average* Average display quality* No earphones in the box* No fingerprint scanner* Takes very long time to charge battery.Will update this review after few weeks.",0.8402,positive
"  I have compare a samsung, Panasonic, and MI mobile. Mi is better in terms of bettery (5000mah) but all the other specifications are same in this range. I prefer samsung because of brand value and I don't want to buy Chinese products.This Mobile is good for average use and battery last for 24 hour. No heating problem.",0.825,positive
"  This smartphone is very handy and responsive. The cameras are not as good as other smartphones in this price but it gets the job done. If you want a very hand and easy to use smartphone this is it. The quality is the best in this segment.Pros:1. Small, handy and light weight2. Display is good3. battery capacity is good4. fast and responsive for normal tasks5. Durability ""It has a plastic body and looks premium but extremely light and durable""cons:1. Not for gaming2. charging takes 3 hours 30 minutes3. cameras are not good compared to other smartphones.",0.9556,positive
  I have been using it for a week.I came back to samsung after using Redmi note and it feels so much better.The touch and feel iss awesome. Fast an smooth operations with anroid 10. Lots of intelligent features at this price like limiting screen time for each app and winddown function in the night etc.. Camera is decent for normal photo. Sound and speakers are good for clear conversations.The only thing which might be a downside for some people'could be compact size of screen especially if you're used to big screens. It might take some time to get accustomed if you are a frequent movie watcher.Overall it's much better than the so called value for money brands like Redmi Oppo Vivo Realme etc which are primarily winning customers by offering more storage battery and big screen but lack performance.A good to buy phone for  9000,0.9215,positive
"  Its not value for money,  just passable,  its very tiny phone, not wider enough,  please see length and widths specification specifically.Very slow chargingNot good cameraIf your are planning for students for class, its worthless.",-0.4585,negative
"  After watching so much negative reviews from paid youtubers about this Phone, I dare to buy this one because of my guts feeling, and I'm happy to have this phone. DON'T GET TRAPPED UNDER NUMEROUS FRAGILE FEATURES IN CHEAP PRICE BY OTHER COMPANIES. I ONLY WANT DURABILITY.",0.6781,positive
  The description said it had fingerprint recognition facility. But it didn't have the faciity. And that was one of the main reasons of deciding to buy it.,0,positive
  Damaged product,-0.4404,negative
  Its compact feel better for day today normal usage. Very good mobile for all users who require a handy good looking Mobile which can perform all the task well.. display is good... Most practical phone in this price..,0.9184,positive
  Nice phone from Samsung in this price. Display is good . Camera is not awsome but average. Battery will last 1 day with normal usage. N it has all necessary features. I got this for 8999 . So good phone under 10 k.As samsung so last for years.,0.8386,positive
"  Gifted it for my mother. It is perfect size , perfect placement of power and volume buttons, has dust on phone after opening the box but the box was sealed, same thing happened to me when I bought M31,Pros.* Perfect size* Samsung brand* Good build quality for this price* Android 10* One UI 2Cons.* camera is below average* Average display quality* No earphones in the box* No fingerprint scanner* Takes very long time to charge battery.Will update this review after few weeks.",0.8402,positive
"  I have compare a samsung, Panasonic, and MI mobile. Mi is better in terms of bettery (5000mah) but all the other specifications are same in this range. I prefer samsung because of brand value and I don't want to buy Chinese products.This Mobile is good for average use and battery last for 24 hour. No heating problem.",0.825,positive
"  This smartphone is very handy and responsive. The cameras are not as good as other smartphones in this price but it gets the job done. If you want a very hand and easy to use smartphone this is it. The quality is the best in this segment.Pros:1. Small, handy and light weight2. Display is good3. battery capacity is good4. fast and responsive for normal tasks5. Durability ""It has a plastic body and looks premium but extremely light and durable""cons:1. Not for gaming2. charging takes 3 hours 30 minutes3. cameras are not good compared to other smartphones.",0.9556,positive
  I have been using it for a week.I came back to samsung after using Redmi note and it feels so much better.The touch and feel iss awesome. Fast an smooth operations with anroid 10. Lots of intelligent features at this price like limiting screen time for each app and winddown function in the night etc.. Camera is decent for normal photo. Sound and speakers are good for clear conversations.The only thing which might be a downside for some people'could be compact size of screen especially if you're used to big screens. It might take some time to get accustomed if you are a frequent movie watcher.Overall it's much better than the so called value for money brands like Redmi Oppo Vivo Realme etc which are primarily winning customers by offering more storage battery and big screen but lack performance.A good to buy phone for  9000,0.9215,positive
"  Its not value for money,  just passable,  its very tiny phone, not wider enough,  please see length and widths specification specifically.Very slow chargingNot good cameraIf your are planning for students for class, its worthless.",-0.4585,negative
"  After watching so much negative reviews from paid youtubers about this Phone, I dare to buy this one because of my guts feeling, and I'm happy to have this phone. DON'T GET TRAPPED UNDER NUMEROUS FRAGILE FEATURES IN CHEAP PRICE BY OTHER COMPANIES. I ONLY WANT DURABILITY.",0.6781,positive
  The description said it had fingerprint recognition facility. But it didn't have the faciity. And that was one of the main reasons of deciding to buy it.,0,positive
"  I am using this product for last 4 days. With 4 day use following are my observations1. The mobile is very handy2. Good display and no hanging issues3. No heating problems the mobile is cool even after usage of continuously for 1 hour talking4. Average camera and expected  performance with this price range5. Good GUI and inbuilt office tools are excellent.6. Good build quality and you will feel premium phone build quality7. Overall : VALUE for money, very good performance ,",0.9378,positive
"  I thought I received a second hand mobile on the second day the screen flickered and on the sixth day the screen is all black The mobile is not opening , not switching on , tried everything but this mobile is trash will never recommend if You want to waste your money then buy. No earphones came with the mobile and even the mobile looked old. Hated it .NEVER BUY",-0.9248,negative
"  This mobile has software problem it seems, within 10 days of usage it hangs a lot. Also it has mic problem, when you attend the call the caller at the other end won’t be able to hear you, you need to restart the mobile for couple of time then it works. I can’t use it like this for longer run, please help me to return the product, I will handover the mobile by doing factory reset. Please review and help as soon as possible.",0.7269,positive
"  I bought this for 8990.. Now it has reduced to 8399.. The product is worth the price. Before buying make of the purpose of the usage.. This is a budget phone and is not for gaming.. My dad needed a phone which has decent battery life and whatsapp for official usage.. He doesn't use it for anything else... I wanted to buy only Samsung phone. I finally concluded to buy this..Pros.1. Good battery life.2. Size is not big. Hence easy to carry. (This might be a con for few)3. Doesn't heat while charging/ normal usage. Though few have complained of heating. However I didn't experience any heating issue.4. Low sar. (0.61 W/kg- head). I particularly check for SAR value before buying.5. Doesn't heat on normal usage.  This depends on how u define ""Normal"". The apps my dad use are few banking apps, Whatsapp, YouTube, and for office use6. Smooth UI7. Android 10 with latest security update.8. Good call quality. Even after hours of calling it didn't heat up.Cons.Can't complain about these coz you get what u pay for.. Lack of fingerprint scanner and slow charging are to name a few.. Samsung can include a screen guard too. :)However getting a Samsung phone for this price is really worth.. Samsung= Quality & Reliability.Samsung is an innovative brand. They spend lots of money for R&D to bring out new feature. So when I pay for Samsung Iam paying for innovation. :)I will be buying M31 s in next sale.. Samsung 4ever! :)",0.8777,positive
  Everything looks good but fingerprint is not available..,0.2382,positive
  Hi I have not received earphone and SIM card ejected pin ..,0,positive
   HEADPHONE IS NOT AVILABLE  FOR THIS PHONE WHY....?,0,positive
  Superb device at this price...if your budget is nearly 9000 this is perfect gadget...u can buy it without looking other reviews...,0.8316,positive
  I like this phone very much ...I buy this phone for my mummy she is happy ..by get this smart phone .. beautiful colour ( red) perfect size  to easily to carry ..in this price phone quality and performance is good ..(Samsung M01) .Thank you amozon for this one ...This line is truly good( Amozon hai apki apni dukan ) ❤️,0.9827,positive
