reviews,Fine-grained sentiment_score,review_category
"  One of the best budget phones available under 8K. I was a bit sceptical about buying it as the company Tecno isn't known in India but to my surprise it is exceptionally well made.ProsBattery Life - 6000mah Easily lasts two daysScreen - 7"" inch screen for viewing videos and movies (Helpful for my mother as she struggles with small fonts while reading or typing)Two SIM slot and dedicated Micro SD slotCamera - 13Mp Rear Triple camera and 8mp front camera with dual flashAndroid 10 (Go version) - Up to date android with Go version for a seamless useConsRam - It is only available in 2GB and 32GB internal storage variant which the company should reconsider. Do not expect playing high end games. PUBG LITE runs with minor glitches during gameplaySound - Speaker output quality isn't upto the mark while playing videos and music but manageable.Would definitely recommend this phone if you're looking to buy something under 8k or a back-up phone to watch movies & web series.Thank you Amazon & Tecno :)",0.9807,positive
"  Value for money. I really wanted make an economical choice between phone and tablet. Glad that I am getting all tablet benefits with extra battery in a phone like this. It serve my purpose to browse online watch online content, study n enjoy music on mobile network. The phone is little heavy but if I had bought tablet it would have been bulky as well. At least it's not as heavy as a tablet but gives all benefits of tablet as well as phone.",0.9178,positive
"  Easily the best specifications at 7999.Was planning to get Spark Power 2.But, this is a much better value for money - 7"" screen, 13 MP triple cam and 6000 Mah Battery! Loving this.",0.9516,positive
"  No back cover,if u go in settings ,---legal information---user agreement----,first it's HIOS Operative system,and it's disclaimer and bound acceptence ,will glow your eyes,we are responsible for everything,,I am not installaling my bank app",0.1531,positive
"  Made in India, Originated from PRC. Very disturbing User Agreement terms related to Mobile OS, HiOS, owned by SHENZEN, Shanghai, PRC. Data, information and password nothing safe. No assurance of keeping OS updated. Use only for low end works.Moreover, non availability of Screen protective glass and cover, keeps always risk while handling",-0.6084,negative
  Third class product... charging adapter not working I purchased Amazon prime membership but Amazon not proper service ( service very bad )Third class service and cheating the customer by Amazon,-0.8243,negative
  Value for moneyBig size but good phone for battery backup,0.6757,positive
"  The phone comes with a 7.00-inch touchscreen display with a resolution of 720x1640 pixels and an aspect ratio of 20.5:9. Tecno Spark 6 Air is powered by a quad-core MediaTek Helio A22 (MT6761) processor. It comes with 2GB of RAM. The Tecno Spark 6 Air runs Android 10 and is powered by a 6000mAh battery.As far as the cameras are concerned, the Tecno Spark 6 Air on the rear packs a 13-megapixel primary camera with an f/1.8 aperture and a second 2-megapixel camera. The rear camera setup has autofocus. It sports a 8-megapixel camera on the front for selfies, with an f/2.0 aperture.The Tecno Spark 6 Air runs HIOS 6.2 based on Android 10 and packs 32GB of inbuilt storage that can be expanded via microSD card (up to 1000GB) with a dedicated slot. The Tecno Spark 6 Air is a dual-SIM (GSM and GSM) smartphone that accepts Nano-SIM and Nano-SIM cards. The Tecno Spark 6 Air measures 174.68 x 79.36 x 9.30mm (height x width x thickness) . It was launched in Comet Black and Ocean Blue colours.Connectivity options on the Tecno Spark 6 Air include Wi-Fi, Bluetooth v5.00, 3G, and 4G with active 4G on both SIM cards. Sensors on the phone include accelerometer, ambient light sensor, proximity sensor, and fingerprint sensor.Without Back cover",0.9501,positive
"  all the specs sheet is loaded to attract the customer . looks like lucrative deal but the device is average and definitely remind you that it is cheap chinese phone. Even no cover is sold for this model anywhere in any website, neither provided in box . Its better to buy narzo 10A or realme C12  instead of this.dont fall prey for tripple camera. Only usable camera is 13 MP ( I mean to say bokeh is not good and i dont know for what third 2mp camera is ??? its just a gimmick). there is no dedicated speaker and earpiece works as speaker and it sounds like screaming noise when you play louder.In my view only plus point of this phone is it has 7 inch screen which is good for vedio and movie viewing experience)i bought this @ effective cost of 7200 with card offer so i can say its okay for money i paid. but if have to buy @ 7999 you have lot of better options",0.961,positive
  Friends don't buy this phone and never buy anothing again in amazon. Amazon provides very very bad customer service. I buy Tecno spark 6 air mobile on Amazon . After 2 days the charging cable not working. Plz don't buy this phone.,0.4227,positive
