reviews,Fine-grained sentiment score,review_category
  Phone looks absolutely top class. Will update this review after 7days of use.Should have fingerprint sensor.,0.2716,positive
  Nice Smartphone In a Short budget....,0.4215,positive
  Vivo mobile battery life is very good rear camera is very good,0.7496,positive
  This handset is awesome look.Nice product in low budgetBattery backup is to strong,0.743,positive
  Charging very slowAnd draining very fast like 2500 mah bttryBuy for who don't use much,0.4173,positive
  I purchased Vivo 91 i recently and fully satisfied with its feature and price. Delivery person was very polite and Delivery service was within 2 days.,0.4754,positive
"  Phone is good, but why my call waiting is not working..any body else faced this ?",0.2382,positive
  Lack of changing indicator is a major drawback in the Mobile.,-0.3182,negative
  Product is good but rear camera quality is not like 13mp and its size also is not 6''22 inch but overall product is good so only 4 star,0.4828,positive
  I had a very bad experience with dis mobile... I bought this on September 15th 2019.. n today the mble stopped working ..is not even getting on.. when I went to service center they are asking for bill which will come to my mail.. bt I dint received any mail from Amazon for making payment n the servoy center ppl are not accepting to replace the mobile until or unless I gv the bill papers.. I paid through phone pay app.. so wt z the resolution fr this..???? I really trust Amazon bt now totally lost,-0.6766,negative
  Phone looks absolutely top class. Will update this review after 7days of use.Should have fingerprint sensor.,0.2716,positive
  Nice Smartphone In a Short budget....,0.4215,positive
  Vivo mobile battery life is very good rear camera is very good,0.7496,positive
  This handset is awesome look.Nice product in low budgetBattery backup is to strong,0.743,positive
  Charging very slowAnd draining very fast like 2500 mah bttryBuy for who don't use much,0.4173,positive
  I purchased Vivo 91 i recently and fully satisfied with its feature and price. Delivery person was very polite and Delivery service was within 2 days.,0.4754,positive
"  Phone is good, but why my call waiting is not working..any body else faced this ?",0.2382,positive
  Lack of changing indicator is a major drawback in the Mobile.,-0.3182,negative
  Product is good but rear camera quality is not like 13mp and its size also is not 6''22 inch but overall product is good so only 4 star,0.4828,positive
  I had a very bad experience with dis mobile... I bought this on September 15th 2019.. n today the mble stopped working ..is not even getting on.. when I went to service center they are asking for bill which will come to my mail.. bt I dint received any mail from Amazon for making payment n the servoy center ppl are not accepting to replace the mobile until or unless I gv the bill papers.. I paid through phone pay app.. so wt z the resolution fr this..???? I really trust Amazon bt now totally lost,-0.6766,negative
  First time really very disappointed form vivo Y91i..mobile took too much time to charge only 6% charging took 30-40 minute to charge ..when i got this mobile it's bettery already was 30 % then after i pluged it 3.00 p.m. and at 7.00 p.m. it was only 86%...too much long time but not get full charged..before purchased this mobile i alreday seen this type review(  about charging problem) but i leave that sometimes it happend but when i used this i known that it is really a big problem in this  mobile...This TIME REALLY DISAPPOINTED BY VIVO..i never suggest to anyone to buy this vivo v91i .if there is any solution of this problem please suggest me..,-0.9483,negative
"  This phone is great but some of the greatest apps like Google assistant ( ok Google hotword don't work and you will need to manually open it, also Amazon Alexa and Microsoft Cortana hotword opening don't work",0.9473,positive
  There was no SIM insertion pin in the box.  Where to get that?,-0.296,negative
  man i am in love this phone usally i used to lava and other phones which are cheap and i used to feel y the battery is draining so much but seriosuly this phone has suprised me and i am in love with touchpad i coudlnt find a problem till now,0.705,positive
  This mobile has a lightweight with average camera quality. It is a low budget phone with face unlocking. Nice working with good brightness on the screen. It is quite handy and easy to use for old people as well.Thanks,0.8542,positive
"  Please dont buy this phone.  Not good, too much heating, working slow.. There is lots of another options in the same price with good performance & quality.  Even Amazon is not giving return & replacement options.",0.3523,positive
"  I recently shifted to vivo and it was a disaster, The mobile phone started hanging on the very 3rd day.It is way to disappointing spending a lot on devices like these.",-0.7003,negative
  nice looking,0.4215,positive
"  Vivo fails me when a call comes in, signal catching on mobile and wireless network. an incoming call cannot be received as the receive button vanishes. some features like screen shot and vdo capture are excellent, looks wise beautiful, space was great. Only issue: sluggish!",0.92,positive
