Mobile names,Average Sentiment score
"OPPO A5 2020 (Dazzling White, 4GB RAM, 64GB Storage)",0.3882
"OPPO A5S (Black, 3GB RAM, 32GB Storage)",0.3105
"Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",0.2966
"Redmi 8A(Midnight Grey, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",0.3025
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage)",0.3506
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)",0.5376
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)",0.3694
"Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage)",0.5049
"Tecno Spark 6 Air (Ocean Blue, 2GB RAM, 32GB Storage)",0.2948
"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) ",0.3157
